Position ID,Action,Long / Short,Amount,Units / Contracts,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop loss rate,Overnight Fees and Dividends,Copied From,Type,ISIN,Notes
2158092541,Warner Bros Discovery Inc (WBD),Long,18.32,0.7486,12/04/2022 12:46:58,11/09/2025 19:28:30,1,0.00,-0.01,-6.37,-,-,24.47,15.96,0.00,0.00,0.00,-,Stocks,US9344231041,
2430537246,Warner Bros Discovery Inc (WBD),Long,12.68,0.984472,25/04/2023 18:49:48,11/09/2025 19:28:30,1,0.00,-0.01,3.03,-,-,12.88,15.96,0.00,0.00,0.00,-,Stocks,US9344231041,
3096307484,Jumia Technologies AG-ADR (JMIA),Short,99.99,17.508841,07/08/2025 19:43:21,25/08/2025 15:08:53,1,0.37,-0.18,48.52,-,-,5.71,8.48,0.00,8.56,0.00,-,CFD,US48138M1053,
2970358135,Meta Platforms Inc (META),Long,100.00,0.16803,13/03/2025 19:16:06,31/07/2025 15:49:32,1,0.00,-0.03,30.79,-,-,595.13,778.35,"6,545.88",0.00,0.14,-,Stocks,US30303M1027,
2985404424,Meta Platforms Inc (META),Long,50.00,0.186003,03/04/2025 15:00:03,02/05/2025 14:05:15,2,0.33,-0.06,9.14,-,-,537.63,586.78,"3,225.12",403.22,-0.85,-,CFD,US30303M1027,
2987794174,NASDAQ100 Index (Non Expiry) (NSDQ100),Long,99.99,0.1131,04/04/2025 18:07:41,06/04/2025 22:02:29,20,0.29,0.00,99.99,-,-,"17,683.09","16,799.01","26,523.93","17,242.01",-1.56,-,CFD,US6311011026,
1163568420,AT&T Inc (T),Long,100.00,3.119152,17/05/2021 17:44:22,14/03/2025 16:47:30,1,0.00,-0.03,-18.37,-,-,32.06,26.17,352.66,0.00,11.54,-,Stocks,US00206R1023,
2737287547,AT&T Inc (T),Long,50.00,2.804262,11/06/2024 19:52:38,14/03/2025 16:47:30,1,0.00,-0.03,23.39,-,-,17.83,26.17,196.13,0.00,1.98,-,Stocks,US00206R1023,
2964611962,Bilibili-ADR (BILI),Short,99.99,4.222188,07/03/2025 17:42:13,10/03/2025 15:38:59,1,0.28,-0.05,5.53,-,-,23.68,22.37,0.00,35.52,0.00,-,CFD,US0900401060,
2947161504,Alibaba-ADR (BABA),Long,266.94,2.145156,01/12/2021 19:56:50,20/02/2025 14:34:00,1,0.00,-0.17,33.19,-,-,124.44,139.91,0.00,0.00,5.71,-,Stocks,US01609W1027,
2926224708,NVIDIA Corporation (NVDA),Long,100.00,0.847888,27/01/2025 16:42:44,28/01/2025 16:56:44,1,0.00,-0.02,4.21,-,-,117.94,122.90,"1,297.34",0.00,0.00,-,Stocks,US67066G1040,
2925976937,NVIDIA Corporation (NVDA),Long,100.00,0.811886,27/01/2025 15:24:38,28/01/2025 16:56:44,1,0.00,-0.02,-0.22,-,-,123.17,122.90,0.00,0.00,0.00,-,Stocks,US67066G1040,
2579849285,Flare (FLR),Long,0.22,12.95711,20/12/2023 10:38:53,23/01/2025 19:47:07,1,0.01,0.00,0.12,-,-,0.02,0.03,0.00,0.00,0.00,-,Crypto,,
2891011978,Flare (FLR),Long,0.68,25.353874,23/12/2024 11:55:55,23/01/2025 19:46:55,1,0.01,-0.04,-0.02,-,-,0.03,0.03,0.00,0.00,0.00,-,Crypto,,
2885482695,"Tesla Motors, Inc. (TSLA)",Short,199.98,0.437709,16/12/2024 19:23:55,23/01/2025 16:26:58,1,0.54,-0.07,19.03,-,-,456.89,413.41,0.00,685.33,0.00,-,CFD,US88160R1014,
2885449654,Fiscalnote Holdings Inc (NOTE),Long,99.98,89.285714,16/12/2024 19:00:09,21/01/2025 16:57:29,1,0.00,-0.89,33.46,-,-,1.12,1.49,0.00,0.00,0.00,-,Stocks,US3376553026,
1378251128,Allbirds Inc (BIRD),Long,100.00,0.193648,04/11/2021 18:19:55,06/01/2025 17:09:38,1,0.00,-0.03,-98.59,-,-,516.40,7.28,0.00,0.00,0.00,-,Stocks,US01675A2087,
2402380346,Allbirds Inc (BIRD),Long,50.00,1.937985,10/03/2023 19:51:18,06/01/2025 17:09:38,1,0.00,-0.27,-35.89,-,-,25.80,7.28,0.00,0.00,0.00,-,Stocks,US01675A2087,
2568440803,Terra Classic  (LUNC),Long,96.55,344827.586207,04/12/2023 09:47:15,06/01/2025 17:05:31,1,0.83,-6.07,-58.62,-,-,0.00,0.00,0.00,0.00,0.00,-,Crypto,,
2568440323,Terra Classic  (LUNC),Long,10.00,34482.758621,04/12/2023 09:45:35,06/01/2025 17:05:31,1,0.08,-0.61,-6.21,-,-,0.00,0.00,0.00,0.00,0.00,-,Crypto,,
